Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Jägertorstraße;49.8974362;8.677301;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8973878;8.6773003;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.89727845;8.6772956;50.0;Interpoliert;T
Routenpunkt (Way);Jägertorstraße;49.8971691;8.6772909;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8970482;8.6772865;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8969413;8.6772831;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8968097;8.6772809;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8967113;8.6772783;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8966746;8.6772788;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8966746;8.6772788;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.896638;8.677276;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.896638;8.677276;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8965728;8.6772762;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8965728;8.6772762;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.896542;8.6772763;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.896542;8.6772763;50.0;Original OSM;T
Routenpunkt (Way);Jägertorstraße;49.8965098;8.677274;50.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8965098;8.677274;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8965154;8.6773471;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.89653255;8.677482900000001;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8965497;8.6776187;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8965615;8.6777358;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8965733;8.6778529;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.89657155;8.6779826;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8965698;8.6781123;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8965489;8.678302;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8965227;8.6784494;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8964843;8.6786082;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.89643895;8.678778399999999;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8963936;8.6789486;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.896355850000006;8.67909905;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8963181;8.6792495;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963023;8.6793336;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962849;8.6794703;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962761;8.6796144;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.896275200000005;8.6797306;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962743;8.6798468;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962743;8.6798468;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962763;8.679929;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962633;8.6800011;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962546;8.6800017;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962457;8.6800022;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962801;8.6800789;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962481;8.6801578;;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962675;8.68016385;;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962839;8.6802288;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962505;8.6803134;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962717;8.6803266;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.896288;8.6803886;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962573;8.68051335;;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962767;8.680519400000001;;Interpoliert;T
Haltestelle;Siemensstraße;49.8962921;8.6805484;30.0;Original OSM;W
Routenpunkt (Way);Siemensstraße;49.89629669999999;8.680698199999998;30.0;Interpoliert;T
Routenpunkt (Way);Siemensstraße;49.8962817;8.6807122;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.896273;8.6807127;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962641;8.6807133;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8962641;8.6807133;;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963013;8.680848;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963027;8.6809065;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963027;8.6809065;30.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963058;8.68102725;30.0;Interpoliert;T
Routenpunkt (Way);Bartningstraße;49.8963089;8.681148;50.0;Original OSM;T
Routenpunkt (Way);Siemensstraße;49.8963089;8.681148;30.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8962554;8.6811502;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8962051;8.6811581;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8961476;8.6811619;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8960425;8.681170766666666;50.0;Interpoliert;T
Routenpunkt (Way);Bartningstraße;49.8959374;8.681179633333333;50.0;Interpoliert;T
Routenpunkt (Way);Bartningstraße;49.8958323;8.6811885;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.89573906666667;8.681199399999999;50.0;Interpoliert;T
Routenpunkt (Way);Bartningstraße;49.89564583333333;8.6812103;50.0;Interpoliert;T
Routenpunkt (Way);Bartningstraße;49.8955526;8.6812212;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8954436;8.6812367;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.8953447;8.6812627;50.0;Original OSM;T
