Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) & 80 % Volllast (m/s²);Nachtverkehr (10%) & 80 % Volllast (m/s²);Hauptverkehrszeit (100%) & 80 % Volllast (m/s²)
18,1;3,9899970259583903;2,7796856849039324;1,2;1,2;1,2
18,2;3,9686374650974696;2,764686117423496;1,2;1,2;1,2
18,3;3,947390879247854;2,749765885670827;1,2;1,2;1,2
18,400000000000002;3,926144095366231;2,7348455148518873;1,2;1,2;1,2
18,5;3,9048971134526047;2,71992500496668;1,2;1,2;1,2
18,6;3,8836499335069705;2,7050043560152033;1,2;1,2;1,2
18,7;3,862402555529329;2,6900835679974553;1,2;1,2;1,2
18,8;3,8411549795196813;2,6751626409134395;1,2;1,2;1,2
18,900000000000002;3,8203728425074672;2,6605685643529653;1,2;1,2;1,2
19,0;3,7999792638161876;2,646247349523727;1,2;1,2;1,2
19,1;3,7795854870929024;2,6319259956282197;1,2;1,2;1,2
19,200000000000003;3,7591915123376096;2,6176045026664427;1,2;1,2;1,2
19,3;3,73879733955031;2,6032828706383966;1,2;1,2;1,2
19,400000000000002;3,7184029687310067;2,5889610995440817;1,2;1,2;1,2
19,5;3,698008399879694;2,574639189383497;1,2;1,2;1,2
19,6;3,6792389736339204;2,561458521607801;1,2;1,2;1,2
19,700000000000003;3,660943517687116;2,548610695388605;1,2;1,2;1,2
19,8;3,6426478637083064;2,5357627301031407;1,2;1,2;1,2
19,900000000000002;3,6243520116974874;2,5229146257514055;1,2;1,2;1,2
20,0;3,606055961654666;2,5100663823334037;1,2;1,2;1,2
20,1;3,5877597135798354;2,49721799984913;1,2;1,2;1,2
20,200000000000003;3,569464145405819;2,4843700948193423;1,2;1,2;1,2
20,3;3,551432408431849;2,4717074629753806;1,2;1,2;1,2
20,400000000000002;3,5334004734258753;2,4590446920651505;1,2;1,2;1,2
20,5;3,5153683403878926;2,44638178208865;1,2;1,2;1,2
20,6;3,497336009317905;2,4337187330458816;1,2;1,2;1,2
20,700000000000003;3,47930348021591;2,4210555449368423;1,2;1,2;1,2
20,8;3,461270753081909;2,4083922177615347;1,2;1,2;1,2
20,900000000000002;3,4437647646659078;2,3960987883100913;1,2;1,2;1,2
21,0;3,42799827511641;2,3850269069419694;1,2;1,2;1,2
21,1;3,4122315875349045;2,3739548865075775;1,2;1,2;1,2
21,200000000000003;3,3964647019213925;2,3628827270069173;1,2;1,2;1,2
21,3;3,380697618275874;2,3518104284399866;1,2;1,2;1,2
21,400000000000002;3,3649303365983503;2,3407379908067876;1,2;1,2;1,2
21,5;3,34916285688882;2,329665414107319;1,2;1,2;1,2
21,6;3,333760655260183;2,318849350791209;1,2;1,2;1,2
21,700000000000003;3,3187844756298026;2,3083324577507707;1,2;1,2;1,2
21,8;3,303808097967417;2,297815425644065;1,2;1,2;1,2
21,900000000000002;3,2888315222730244;2,287298254471089;1,2;1,2;1,2
22,0;3,273854748546625;2,276780944231843;1,2;1,2;1,2
22,1;3,25887777678822;2,2662634949263283;1,2;1,2;1,2
22,200000000000003;3,2439006069978067;2,255745906554544;1,2;1,2;1,2
22,3;3,228965104224562;2,2452575784863664;1,2;1,2;1,2
22,400000000000002;3,214048142245777;2,2347822705312645;1,2;1,2;1,2
22,5;3,1991309822349847;2,224306823509893;1,2;1,2;1,2
22,6;3,184213624192186;2,2138312374222515;1,2;1,2;1,2
22,700000000000003;3,169296068117379;2,20335551226834;1,2;1,2;1,2
22,8;3,1543783140105686;2,1928796480481605;1,2;1,2;1,2
22,900000000000002;3,1394603618717505;2,1824036447617114;1,2;1,2;1,2
23,0;3,125395784162572;2,1725269163118;1,2;1,2;1,2
23,1;3,1114052728750137;2,162702200367969;1,2;1,2;1,2
23,200000000000003;3,097414563555449;2,1528773453578673;1,2;1,2;1,2
23,3;3,08342365620388;2,1430523512814976;1,2;1,2;1,2
23,400000000000002;3,0694325508203035;2,133227218138859;1,2;1,2;1,2
23,5;3,0554412474047195;2,12340194592995;1,2;1,2;1,2
23,6;3,041513520639395;2,1136213198756106;1,2;1,2;1,2
23,700000000000003;3,0279494920020333;2,1040960976963046;1,2;1,2;1,2
23,8;3,0143852653326655;2,0945707364507298;1,2;1,2;1,2
23,900000000000002;3,000820840631291;2,085045236138885;1,2;1,2;1,2
