Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
15,100000000000001;2,9875518487648174;2,068863436992515;1,2;1,2;1,2;1,2
15,200000000000001;2,9875082067895087;2,068832887609799;1,2;1,2;1,2;1,2
15,3;2,987464276748357;2,068802136580992;1,2;1,2;1,2;1,2
15,4;2,9874200586413604;2,068771183906095;1,2;1,2;1,2;1,2
15,5;2,9873755524685213;2,0687400295851077;1,2;1,2;1,2;1,2
15,600000000000001;2,987330758229838;2,0687086736180293;1,2;1,2;1,2;1,2
15,700000000000001;2,9872856759253112;2,0686771160048605;1,2;1,2;1,2;1,2
15,8;2,987240305554941;2,0686453567456016;1,2;1,2;1,2;1,2
15,9;2,9871946471187267;2,0686133958402517;1,2;1,2;1,2;1,2
16,0;2,987148700616669;2,0685812332888114;1,2;1,2;1,2;1,2
16,1;2,9871024660487677;2,0685488690912806;1,2;1,2;1,2;1,2
16,2;2,9870559434150232;2,0685163032476592;1,2;1,2;1,2;1,2
16,3;2,9870091327154347;2,068483535757947;1,2;1,2;1,2;1,2
16,400000000000002;2,9869620339500025;2,0684505666221447;1,2;1,2;1,2;1,2
16,5;2,9869146471187267;2,068417395840252;1,2;1,2;1,2;1,2
16,6;2,9868669722216077;2,068384023412268;1,2;1,2;1,2;1,2
16,7;2,9868190092586446;2,068350449338194;1,2;1,2;1,2;1,2
16,8;2,986770758229838;2,068316673618029;1,2;1,2;1,2;1,2
16,900000000000002;2,9851749876552702;2,0671996342158323;1,2;1,2;1,2;1,2
17,0;2,9833218242333888;2,0659024198205147;1,2;1,2;1,2;1,2
17,1;2,9814683727456632;2,064605003779107;1,2;1,2;1,2;1,2
17,2;2,9796146331920936;2,0633073860916085;1,2;1,2;1,2;1,2
17,3;2,9777606055726813;2,0620095667580194;1,2;1,2;1,2;1,2
17,400000000000002;2,9759062898874244;2,0607115457783403;1,2;1,2;1,2;1,2
17,5;2,972860617474195;2,0585795750890794;1,2;1,2;1,2;1,2
17,6;2,9572629397480843;2,047661200680802;1,2;1,2;1,2;1,2
17,7;2,9416649739561325;2,0367426246264353;1,2;1,2;1,2;1,2
17,8;2,9260667200983352;2,0258238469259777;1,2;1,2;1,2;1,2
17,900000000000002;2,9104681781746944;2,014904867579429;1,2;1,2;1,2;1,2
18,0;2,8948693481852117;2,003985686586791;1,2;1,2;1,2;1,2
18,1;2,8792702301298836;1,9930663039480614;1,2;1,2;1,2;1,2
18,2;2,8637088218355515;1,9821733181420287;1,2;1,2;1,2;1,2
18,3;2,8482294386549136;1,971337749915582;1,2;1,2;1,2;1,2
18,400000000000002;2,832749767408431;1,9605019800430445;1,2;1,2;1,2;1,2
18,5;2,8172698080961065;1,9496660085244175;1,2;1,2;1,2;1,2
18,6;2,8017895607179377;1,9388298353596993;1,2;1,2;1,2;1,2
18,7;2,7863090252739244;1,9279934605488902;1,2;1,2;1,2;1,2
18,8;2,7708282017640684;1,9171568840919908;1,2;1,2;1,2;1,2
18,900000000000002;2,7556857579778162;1,906557173441614;1,2;1,2;1,2;1,2
19,0;2,740825776951708;1,8961551867233384;1,2;1,2;1,2;1,2
19,1;2,725965507859756;1,8857529983589723;1,2;1,2;1,2;1,2
19,200000000000003;2,7111049507019604;1,8753506083485152;1,2;1,2;1,2;1,2
19,3;2,696244105478321;1,8649480166919674;1,2;1,2;1,2;1,2
19,400000000000002;2,681382972188839;1,8545452233893298;1,2;1,2;1,2;1,2
19,5;2,6665215508335125;1,8441422284406013;1,2;1,2;1,2;1,2
19,6;2,652841986486756;1,8345665333978718;1,2;1,2;1,2;1,2
19,700000000000003;2,6395070068620243;1,8252320476605597;1,2;1,2;1,2;1,2
19,8;2,62617173917145;1,8158973602771582;1,2;1,2;1,2;1,2
19,900000000000002;2,612836183415031;1,8065624712476644;1,2;1,2;1,2;1,2
20,0;2,5995003395927703;1,7972273805720822;1,2;1,2;1,2;1,2
20,1;2,586164207704664;1,7878920882504077;1,2;1,2;1,2;1,2
20,200000000000003;2,5728284262900676;1,77855704126019;1,2;1,2;1,2;1,2
20,3;2,559684390927869;1,769356216506651;1,2;1,2;1,2;1,2
20,400000000000002;2,546540067499828;1,7601551901070225;1,2;1,2;1,2;1,2
20,5;2,5333954560059424;1,7509539620613026;1,2;1,2;1,2;1,2
20,6;2,5202505564462143;1,741752532369493;1,2;1,2;1,2;1,2
20,700000000000003;2,5071053688206413;1,7325509010315918;1,2;1,2;1,2;1,2
20,8;2,4939598931292255;1,7233490680476007;1,2;1,2;1,2;1,2
20,900000000000002;2,481197381761747;1,7144153100903659;1,2;1,2;1,2;1,2
21,0;2,4696999011619303;1,7063670736704943;1,2;1,2;1,2;1,2
21,1;2,458202132496269;1,698318635604531;1,2;1,2;1,2;1,2
21,200000000000003;2,4467040757647647;1,6902699958924778;1,2;1,2;1,2;1,2
21,3;2,4352057309674158;1,6822211545343342;1,2;1,2;1,2;1,2
21,400000000000002;2,4237070981042246;1,6741721115301;1,2;1,2;1,2;1,2
21,5;2,4122081771751898;1,6661228668797758;1,2;1,2;1,2;1,2
21,6;2,4009747867888542;1,6582594936093409;1,2;1,2;1,2;1,2
21,700000000000003;2,390051107297971;1,650612917965723;1,2;1,2;1,2;1,2
21,8;2,379127139741246;1,642966140676015;1,2;1,2;1,2;1,2
21,900000000000002;2,368202884118677;1,6353191617402165;1,2;1,2;1,2;1,2
22,0;2,3572783404302635;1,6276719811583271;1,2;1,2;1,2;1,2
22,1;2,346353508676007;1,6200245989303474;1,2;1,2;1,2;1,2
22,200000000000003;2,335428388855906;1,612377015056277;1,2;1,2;1,2;1,2
22,3;2,324533430317334;1,6047505440792766;1,2;1,2;1,2;1,2
22,400000000000002;2,3136518128629535;1,5971334118612106;1,2;1,2;1,2;1,2
22,5;2,3027699073427295;1,5895160779970534;1,2;1,2;1,2;1,2
22,6;2,2918877137566613;1,5818985424868055;1,2;1,2;1,2;1,2
22,700000000000003;2,281005232104748;1,5742808053304664;1,2;1,2;1,2;1,2
22,8;2,2701224623869933;1,5666628665280382;1,2;1,2;1,2;1,2
22,900000000000002;2,259239404603394;1,5590447260795186;1,2;1,2;1,2;1,2
23,0;2,2489768802961447;1,5518609590644443;1,2;1,2;1,2;1,2
23,1;2,238768082051556;1,5447148002932323;1,2;1,2;1,2;1,2
23,200000000000003;2,2285589957411234;1,5375684398759295;1,2;1,2;1,2;1,2
23,3;2,218349621364849;1,530421877812537;1,2;1,2;1,2;1,2
23,400000000000002;2,2081399589227297;1,5232751141030538;1,2;1,2;1,2;1,2
23,5;2,1979300084147666;1,5161281487474794;1,2;1,2;1,2;1,2
23,6;2,1877661545339717;1,509013451030923;1,2;1,2;1,2;1,2
23,700000000000003;2,177866682062253;1,5020838203007203;1,2;1,2;1,2;1,2
23,8;2,1679669215246924;1,4951539879244273;1,2;1,2;1,2;1,196123190339542
23,900000000000002;2,158066872921287;1,4882239539020437;1,2;1,2;1,2;1,190579163121635
24,0;2,148166536252038;1,4812937182335697;1,2;1,2;1,2;1,1850349745868558
24,1;2,138265911516946;1,4743632809190048;1,2;1,2;1,2;1,179490624735204
24,200000000000003;2,12836499871601;1,4674326419583497;1,2;1,2;1,2;1,1739461135666798
24,3;2,118846602949614;1,4607697649218725;1,2;1,2;1,2;1,168615811937498
24,400000000000002;2,1099570701228814;1,4545470919431598;1,2;1,2;1,2;1,163637673554528
24,5;2,1010672492303057;1,448324217318357;1,2;1,2;1,2;1,1586593738546858
24,6;2,0921771402718865;1,4421011410474633;1,2;1,2;1,2;1,1536809128379708
24,700000000000003;2,0832867432476223;1,4358778631304785;1,2;1,2;1,2;1,1487022905043829
24,8;2,074396058157516;1,429654383567404;1,2;1,2;1,2;1,1437235068539233
24,900000000000002;2,0655050850015653;1,4234307023582387;1,2;1,2;1,2;1,138744561886591
25,0;2,0571218198169086;1,4175624167289789;1,2;1,2;1,2;1,134049933383183
25,1;2,0490665555225567;1,4119237317229325;1,2;1,2;1,2;1,129538985378346
25,200000000000003;2,0410110031623607;1,4062848450707952;1,2;1,2;1,2;1,1250278760566361
25,3;2,0329551627363225;1,4006457567725685;1,2;1,2;1,2;1,1205166054180549
25,400000000000002;2,0248990342444393;1,3950064668282505;1,2;1,2;1,2;1,1160051734626004
25,5;2,016842617686714;1,3893669752378426;1,2;1,2;1,2;1,111493580190274
25,6;2,0087859130631434;1,3837272820013433;1,2;1,2;1,2;1,1069818256010746
25,700000000000003;2,00025650098596;1,3777566935473151;1,2;1,2;1,2;1,102205354837852
25,8;1,991634533958186;1,3717213166278732;1,2;1,2;1,2;1,0973770533022986
25,900000000000002;1,983012278864568;1,3656857380623406;1,2;1,2;1,2;1,0925485904498726
26,0;1,9743897357051061;1,3596499578507173;1,2;1,2;1,2;1,0877199662805739
26,1;1,9657669044798014;1,353613975993004;1,2;1,2;1,2;1,0828911807944033
26,200000000000003;1,9571437851886528;1,3475777924891998;1,2;1,2;1,2;1,07806223399136
26,3;1,9486289439164846;1,3416174035986819;1,2;1,2;1,2;1,0732939228789455
26,400000000000002;1,941656031496473;1,336736364904674;1,2;1,2;1,2;1,0693890919237392
26,5;1,9346828310106188;1,331855124564576;1,2;1,2;1,2;1,0654840996516608
26,6;1,9277093424589202;1,326973682578387;1,2;1,2;1,2;1,0615789460627096
26,700000000000003;1,9207355658413787;1,322092038946108;1,2;1,2;1,2;1,0576736311568864
26,8;1,9137615011579932;1,317210193667738;1,2;1,2;1,2;1,0537681549341904
26,900000000000002;1,9067871484087644;1,312328146743278;1,2;1,2;1,2;1,0498625173946223
27,0;1,8996607627697573;1,3073396767959728;1,2;1,2;1,2;1,0458717414367784
27,1;1,8921713187033875;1,3020970659495141;1,2;1,2;1,2;1,0416776527596114
27,200000000000003;1,8846815865711746;1,2968542534569651;1,2;1,2;1,2;1,0374834027655722
27,3;1,8771915663731182;1,2916112393183257;1,2;1,2;1,2;1,0332889914546606
27,400000000000002;1,8697012581092174;1,286368023533595;1,2;1,2;1,2;1,029094418826876
27,5;1,8622106617794738;1,2811246061027746;1,2;1,2;1,2;1,0248996848822196
27,6;1,8547197773838857;1,275880987025863;1,2;1,2;1,2;1,0207047896206904
27,700000000000003;1,84749559624842;1,270824060231037;1,2;1,2;1,2;1,0166592481848296
27,8;1,8405135744779177;1,2659366449916851;1,2;1,2;1,2;1,012749315993348
27,900000000000002;1,8335312646415702;1,261049028106242;1,2;1,2;1,1974216062848666;1,0088392224849938
28,0;1,8265486667393807;1,2561612095747092;1,2;1,2;1,192821306490483;1,0049289676597675
28,1;1,8195657807713463;1,2512731893970852;1,2;1,2;1,1882208169115427;1,0010185515176682
28,200000000000003;1,812582606737469;1,2463849675733711;1,2;1,2;1,1836201375480468;0,997107974058697
28,3;1,8055991446377482;1,2414965441035666;1,2;1,2;1,1790192683999956;0,9931972352828533
28,400000000000002;1,799268573530577;1,2370651443285468;1,2;1,2;1,1748485391999768;0,9896521154628375
28,5;1,7931516824727127;1,2327833205880416;1,2;1,2;1,1708185874442074;0,9862266564704334
28,6;1,7870345033490047;1,228501295201446;1,2;1,2;1,1667884459038822;0,9828010361611569
28,700000000000003;1,7809170361594535;1,2242190681687601;1,2;1,2;1,1627581145790014;0,9793752545350082
28,8;1,774799280904058;1,2199366394899835;1,2;1,2;1,1587275934695642;0,9759493115919868
28,900000000000002;1,7686812375828191;1,2156540091651162;1,2;1,2;1,1546968825755717;0,9725232073320931
29,0;1,762562906195737;1,2113711771941589;1,2;1,2;1,1506659818970233;0,9690969417553271
29,1;1,7556897193096774;1,206559946373917;1,2;1,2;1,146137764654443;0,9652479570991336
29,200000000000003;1,748802735341496;1,2017390575961902;1,199374064213258;1,2;1,1416004575695236;0,9613912460769521
29,3;1,7419154633074714;1,1969179671723729;1,194618364658321;1,2;1,1370629607000484;0,9575343737378983
29,400000000000002;1,7350279032076028;1,1920966751024649;1,1898624661923205;1,2;1,1325252740460174;0,9536773400819719
29,5;1,7281400550418915;1,1872751813864668;1,185106368815257;1,2;1,127987397607431;0,9498201451091735
29,6;1,7212519188103352;1,1824534860243776;1,1803500725271296;1,2;1,1234493313842882;0,9459627888195021
29,700000000000003;1,7146124086942294;1,1778058289431033;1,1757654539512734;1,2;1,11907506589603;0,9422446631544826
29,8;1,7089001880565389;1,1738072744967203;1,1718211339055193;1,2;1,1153117205347283;0,9390458195973763
29,900000000000002;1,7031876793530054;1,1698085184042468;1,167876614948702;1,2;1,111548185388871;0,9358468147233975
30,0;1,6974748825836279;1,1658095606656824;1,163931897080821;1,2;1,1077844604584575;0,932647648532546
30,1;1,6917617977484072;1,161810401281028;1,1599869803018772;1,2;1,1040205457434886;0,9294483210248224
30,200000000000003;1,6860484248473424;1,1578110402502826;1,1560418646118693;1,2;1,1002564412439635;0,9262488322002261
30,3;1,6803347638804347;1,1538114775734472;1,1520965500107987;1,2;1,0964921469598832;0,9230491820587577
30,400000000000002;1,6749479133544658;1,150040682205269;1,1483768998325712;1,2;1,0929431630839506;0,9200325457642151
