Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
12,100000000000001;2,8830902603533564;2,0696861530418977;1,2;1,2;1,2;1,2
12,200000000000001;2,8830564672499084;2,069661653041898;1,2;1,2;1,2;1,2
12,3;2,883022396013921;2,0696369513958075;1,2;1,2;1,2;1,2
12,4;2,8829880466453957;2,069612048103626;1,2;1,2;1,2;1,2
12,5;2,8829534191443313;2,0695869431653544;1,2;1,2;1,2;1,2
12,600000000000001;2,8829185135107283;2,0695616365809926;1,2;1,2;1,2;1,2
12,700000000000001;2,882883329744587;2,06953612835054;1,2;1,2;1,2;1,2
12,8;2,8828478678459066;2,0695104184739965;1,2;1,2;1,2;1,2
12,9;2,8828121278146877;2,0694845069513628;1,2;1,2;1,2;1,2
13,0;2,88277610965093;2,0694583937826385;1,2;1,2;1,2;1,2
13,100000000000001;2,882739813354634;2,0694320789678238;1,2;1,2;1,2;1,2
13,200000000000001;2,8827032389257985;2,069405562506918;1,2;1,2;1,2;1,2
13,3;2,8826663863644253;2,0693788443999224;1,2;1,2;1,2;1,2
13,4;2,882629255670513;2,069351924646836;1,2;1,2;1,2;1,2
13,5;2,8825918468440617;2,069324803247659;1,2;1,2;1,2;1,2
13,600000000000001;2,882554159885072;2,0692974802023913;1,2;1,2;1,2;1,2
13,700000000000001;2,882516194793544;2,0692699555110337;1,2;1,2;1,2;1,2
13,8;2,8824779515694767;2,069242229173585;1,2;1,2;1,2;1,2
13,9;2,8824394302128713;2,069214301190046;1,2;1,2;1,2;1,2
14,0;2,8824006307237267;2,0691861715604163;1,2;1,2;1,2;1,2
14,100000000000001;2,882361553102044;2,069157840284696;1,2;1,2;1,2;1,2
14,200000000000001;2,8823221973478224;2,0691293073628856;1,2;1,2;1,2;1,2
14,3;2,882282563461062;2,069100572794984;1,2;1,2;1,2;1,2
14,4;2,882242651441763;2,0690716365809925;1,2;1,2;1,2;1,2
14,5;2,8822024612899253;2,06904249872091;1,2;1,2;1,2;1,2
14,600000000000001;2,882161993005549;2,0690131592147374;1,2;1,2;1,2;1,2
14,700000000000001;2,882121246588634;2,068983618062474;1,2;1,2;1,2;1,2
14,8;2,88208022203918;2,06895387526412;1,2;1,2;1,2;1,2
14,9;2,8820389193571883;2,0689239308196754;1,2;1,2;1,2;1,2
15,0;2,8819973385426567;2,0688937847291404;1,2;1,2;1,2;1,2
15,100000000000001;2,8819554795955873;2,068863436992515;1,2;1,2;1,2;1,2
15,200000000000001;2,881913342515979;2,068832887609799;1,2;1,2;1,2;1,2
15,3;2,8818709273038317;2,068802136580992;1,2;1,2;1,2;1,2
15,4;2,8818282339591463;2,068771183906095;1,2;1,2;1,2;1,2
15,5;2,881785262481922;2,0687400295851077;1,2;1,2;1,2;1,2
15,600000000000001;2,881742012872159;2,0687086736180293;1,2;1,2;1,2;1,2
15,700000000000001;2,881698485129857;2,0686771160048605;1,2;1,2;1,2;1,2
15,8;2,881654679255017;2,0686453567456016;1,2;1,2;1,2;1,2
15,9;2,881610595247638;2,0686133958402517;1,2;1,2;1,2;1,2
16,0;2,88156623310772;2,0685812332888114;1,2;1,2;1,2;1,2
16,1;2,8815215928352638;2,0685488690912806;1,2;1,2;1,2;1,2
16,2;2,8814766744302687;2,0685163032476592;1,2;1,2;1,2;1,2
16,3;2,8814314778927352;2,068483535757947;1,2;1,2;1,2;1,2
16,400000000000002;2,8813860032226626;2,0684505666221447;1,2;1,2;1,2;1,2
16,5;2,8813402504200516;2,068417395840252;1,2;1,2;1,2;1,2
16,6;2,8812942194849023;2,068384023412268;1,2;1,2;1,2;1,2
16,7;2,8812479104172133;2,068350449338194;1,2;1,2;1,2;1,2
16,8;2,8812013232169864;2,068316673618029;1,2;1,2;1,2;1,2
16,900000000000002;2,879660579213956;2,0671996342158323;1,2;1,2;1,2;1,2
17,0;2,8778713179790354;2,0659024198205147;1,2;1,2;1,2;1,2
