Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Roßdörfer Straße;49.868600557142855;8.674919514285715;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86862542857143;8.674738957142857;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8686503;8.6745584;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8686722;8.67435405;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8686941;8.674149700000001;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.868716;8.67394535;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8687379;8.673741;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86876162;8.673575679999999;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86878534;8.67341036;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86880906;8.67324504;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86883278;8.67307972;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8688565;8.6729144;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86888006;8.67274204;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86890362;8.67256968;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86892718;8.67239732;30.0;Interpoliert;T
Routenpunkt (Way);Heidenreichstraße;49.8689791;8.6722335;;Original OSM;T
Routenpunkt (Way);Heidenreichstraße;49.8689956;8.6722385;;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86895074;8.672224960000001;30.0;Interpoliert;T
Routenpunkt (Way);Heidenreichstraße;49.8689938;8.6721161;;Interpoliert;T
Routenpunkt (Way);Heidenreichstraße;49.86901025;8.672121050000001;;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8689743;8.6720526;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8689743;8.6720526;30.0;Original OSM;T
Routenpunkt (Way);Heidenreichstraße;49.8690085;8.6719987;;Original OSM;T
