Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Hilpertstraße;49.8625009;8.6280718;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86252603333333;8.6282093;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.86255116666667;8.628346800000001;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8625763;8.6284843;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86259565;8.62859095;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.862615;8.6286976;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8626455;8.628868;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8626727;8.629005966666668;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8626999;8.629143933333333;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8627271;8.6292819;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86276265;8.6294452;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8627982;8.6296085;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.86282135;8.62970865;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8628445;8.6298088;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.862870400000006;8.629909699999999;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8628963;8.6300106;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.862924500000005;8.630114500000001;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8629527;8.6302184;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8629527;8.6302184;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8629725;8.6302928;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8630095;8.6304312;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8630401;8.63054155;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8630707;8.6306519;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8630707;8.6306519;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8630961;8.6307356;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.863125;8.6308153;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8631603;8.6309008;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8631603;8.6309008;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8631806;8.6309433;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632041;8.6309843;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632041;8.6309843;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632881;8.6311139;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632881;8.6311139;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632985;8.6311281;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8632985;8.6311281;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.863342;8.6311808;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.863342;8.6311808;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8634123;8.631281;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8634703;8.6313577;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8635187;8.6314343;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8635187;8.6314343;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8635524;8.6315054;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8635809;8.6315745;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636024;8.6316406;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636167;8.6317044;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636322;8.6317942;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636322;8.6317942;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636508;8.6319295;50.0;Interpoliert;T
Routenpunkt (Way);Hilpertstraße;49.8636694;8.6320648;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636718;8.6320797;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636718;8.6320797;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636763;8.632115;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636835;8.6322006;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636887;8.6322534;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.8636887;8.6322534;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.863699;8.6323471;50.0;Original OSM;T
Routenpunkt (Way);Hilpertstraße;49.863699;8.6323471;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8637779;8.632310499999999;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8638568;8.6322739;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.863946850000005;8.6322327;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8640369;8.6321915;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.86411205;8.6321571;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8641872;8.6321227;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8641872;8.6321227;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8642701;8.6320896;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.864353;8.6320565;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.86444915;8.632022;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8645453;8.6319875;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.86467276666667;8.631947166666667;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.86480023333333;8.631906833333332;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8649277;8.6318665;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.865045683333335;8.631829366666667;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.86516366666667;8.631792233333332;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.86528165;8.6317551;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.86539963333333;8.631717966666667;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.865517616666665;8.631680833333332;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8656356;8.6316437;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.86573833333333;8.631610966666667;50.0;Interpoliert;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8658258;8.6316279;;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8658271;8.6316379;;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8658302;8.631663;;Original OSM;T
Routenpunkt (Way);Haardtring;49.86584106666666;8.631578233333332;50.0;Interpoliert;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8659175;8.63160035;;Interpoliert;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.86592185;8.6316354;;Interpoliert;T
Haltestelle;Hochschule West;49.8659438;8.6315455;50.0;Original OSM;W
Routenpunkt (Way);Haardtring;49.8659438;8.6315455;50.0;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8660092;8.6315728;;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8660092;8.6315728;;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8660105;8.6315838;;Original OSM;T
Routenpunkt (Way);Hochschule West (Bussteig Richtung Nord);49.8660135;8.6316078;;Original OSM;T
Routenpunkt (Way);Haardtring;49.866074;8.6315036;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.866074;8.6315036;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8661432;8.6314871;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8662229;8.6314723;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8662974;8.6314624;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8663582;8.6314612;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8664148;8.6314612;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8664666;8.6314658;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8664666;8.6314658;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8664963;8.6314744;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.866533;8.6314922;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8665783;8.6315191;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8666238;8.6315493;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8666805;8.6315921;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.866734;8.6316345;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8667863;8.6316776;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8668712;8.6317545;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8668712;8.6317545;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.86695306666667;8.631909466666666;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.86703493333333;8.632064433333333;50.0;Interpoliert;T
Routenpunkt (Way);Haardtring;49.8671168;8.6322194;50.0;Original OSM;T
Routenpunkt (Way);Haardtring;49.8671168;8.6322194;50.0;Original OSM;T
